Lokasi_Awal,Lokasi_Tujuan,Jarak_km
(179) Universitas Kuningan 206,(164) Terminal Leuwipanjang,22.45
(79) Stasiun Indramayu 140,(63) Summarecon Mall Bandung,130.03
(108) Alun-Alun Garut 43,(58) Alun-Alun Kuningan 91,4.25
(242) Mall Garut 78,(248) Stasiun Bandung 174,146.64
(257) Terminal Sumedang 240,(133) Wisata Lembang 34,45.69
(262) Hotel Indramayu 40,(239) Terminal Kuningan 179,139.81
(206) RS Hasan Sadikin,(16) Terminal Indramayu 229,34.71
(6) Mall Soreang 202,(73) Wisata Subang 90,125.6
(63) Summarecon Mall Bandung,(116) Universitas Lembang 166,98.69
(80) Stasiun Kiaracondong,(50) Alun-Alun Rancaekek 209,5.41
(248) Stasiun Bandung 174,(202) Terminal Sumedang 61,5.45
(150) Terminal Garut 120,(76) Alun-Alun Cianjur 168,18.96
(109) Kiara Artha Park,(292) Wisata Cianjur 187,109.4
(294) Wisata Soreang 208,(74) Universitas Cianjur 51,26.26
(202) Terminal Sumedang 61,(41) Universitas Soreang 194,58.04
(202) Terminal Sumedang 61,(286) Terminal Cirebon 41,117.57
(112) Alun-Alun Subang 203,(256) Wisata Cianjur 165,45.97
(185) Babakan Siliwangi,(189) Mall Purwakarta 49,68.75
(187) Mall Bandung 98,(83) Hotel Kuningan 142,36.96
(73) Wisata Subang 90,(14) Alun-Alun Bandung 68,81.25
(201) Mall Sumedang 79,(65) Stasiun Sumedang 255,145.5
(149) Hotel Majalengka 129,(238) Alun-Alun Soreang 99,73.97
(243) Mall Purwakarta 176,(164) Terminal Leuwipanjang,47.3
(21) Universitas Cimahi 164,(221) Terminal Garut 183,47.16
(284) RS Hermina,(204) Mall Tasikmalaya 124,52.52
(42) Braga Citywalk,(66) RS Garut 64,32.43
(179) Universitas Kuningan 206,(226) Universitas Padjadjaran,66.71
(203) RS Cimahi 121,(44) Mall Bandung 153,90.65
(246) Hotel Majalengka 13,(95) Wisata Rancaekek 2,141.62
(234) Stasiun Bandung 9,(282) Alun-Alun Cirebon 246,104.19
(33) Hotel Kuningan 215,(77) Hotel Garut 247,17.04
(46) Universitas Telkom,(28) Cihampelas Walk,41.3
(19) Terminal Purwakarta 119,(134) Mall Subang 221,68.62
(153) Mall Cirebon 220,(32) Universitas Lembang 212,53.02
(71) Wisata Lembang 231,(97) Universitas Bandung 131,59.68
(269) Hotel Cirebon 186,(292) Wisata Cianjur 187,83.69
(38) Alun-Alun Garut 112,(50) Alun-Alun Rancaekek 209,22.83
(240) Mall Bandung 250,(275) Mall Lembang 22,121.72
(12) Hotel Purwakarta 101,(244) Wisata Soreang 161,68.05
(250) Universitas Sumedang 223,(192) Metro Indah Mall,90.86
(113) Terminal Cianjur 108,(148) Museum Asia Afrika,29.69
(92) Stasiun Soreang 27,(21) Universitas Cimahi 164,14.5
(255) Hotel Rancaekek 204,(151) Wisata Cianjur 211,42.78
(270) Terminal Cianjur 48,(147) Terminal Cianjur 259,39.75
(48) Wisata Lembang 162,(132) Terminal Subang 118,14.06
(241) Universitas Lembang 7,(31) Stasiun Cianjur 163,127.33
(232) Terminal Tasikmalaya 155,(262) Hotel Indramayu 40,121.64
(136) Terminal Garut 24,(44) Mall Bandung 153,65.16
(184) Mall Sumedang 77,(63) Summarecon Mall Bandung,116.35
(37) Universitas Purwakarta 232,(138) RS Kuningan 38,26.5
(138) RS Kuningan 38,(179) Universitas Kuningan 206,62.38
(160) Terminal Tasikmalaya 177,(59) Terminal Bandung 146,119.84
(27) Stasiun Soreang 150,(47) Terminal Cianjur 69,9.76
(60) Paskal Hyper Square,(4) RS Cianjur 192,86.36
(232) Terminal Tasikmalaya 155,(14) Alun-Alun Bandung 68,82.93
(87) RS Purwakarta 136,(12) Hotel Purwakarta 101,22.86
(36) Mall Rancaekek 148,(219) Stasiun Cianjur 230,11.75
(166) Alun-Alun Subang 1,(205) Terminal Cicaheum,144.94
(17) Hotel Subang 8,(30) Tahura Djuanda,27.94
(25) Kebun Binatang Bandung,(187) Mall Bandung 98,22.75
(172) Universitas Kuningan 122,(209) Hotel Subang 210,6.06
(191) Mall Lembang 125,(162) Universitas Purwakarta 96,10.2
(131) Mall Kuningan 113,(273) Hotel Indramayu 189,19.49
(156) Hotel Lembang 241,(244) Wisata Soreang 161,57.7
(51) Alun-Alun Subang 54,(80) Stasiun Kiaracondong,146.38
(64) Wisata Majalengka 182,(224) Wisata Cianjur 251,56.97
(99) Wisata Bandung 188,(250) Universitas Sumedang 223,107.48
(15) Terminal Indramayu 196,(130) Alun-Alun Bandung,87.38
(15) Terminal Indramayu 196,(277) Trans Studio Bandung,33.25
(167) RS Kuningan 158,(197) RS Santosa Bandung,60.55
(171) Gedung Sate,(90) Mall Soreang 222,84.68
(116) Universitas Lembang 166,(203) RS Cimahi 121,120.94
(297) Alun-Alun Subang 134,(174) Terminal Kuningan 115,50.11
